Date,Product_Category,Region,Units_Sold,Unit_Price,Total_Sales,Month,Year,Day_of_Week,Quarter
2022-01-01,Electronics,North,15,39.83,597.48,1,2022,Saturday,Q1
2022-01-01,Electronics,South,17,34.03,578.43,1,2022,Saturday,Q1
2022-01-01,Electronics,East,46,12.51,575.56,1,2022,Saturday,Q1
2022-01-01,Electronics,West,12,47.96,575.56,1,2022,Saturday,Q1
2022-01-01,Clothing,North,39,11.02,429.96,1,2022,Saturday,Q1
2022-01-01,Clothing,South,8,50.7,405.61,1,2022,Saturday,Q1
2022-01-01,Clothing,East,21,17.55,368.5,1,2022,Saturday,Q1
2022-01-01,Clothing,West,23,17.34,398.86,1,2022,Saturday,Q1
2022-01-01,Groceries,North,32,27.81,889.84,1,2022,Saturday,Q1
2022-01-01,Groceries,South,38,21.72,825.18,1,2022,Saturday,Q1
2022-01-01,Groceries,East,39,21.85,852.2,1,2022,Saturday,Q1
2022-01-01,Groceries,West,36,24.78,892.01,1,2022,Saturday,Q1
2022-01-01,Furniture,North,18,18.14,326.55,1,2022,Saturday,Q1
2022-01-01,Furniture,South,9,30.65,275.81,1,2022,Saturday,Q1
2022-01-01,Furniture,East,7,38.04,266.25,1,2022,Saturday,Q1
2022-01-01,Furniture,West,16,17.87,285.91,1,2022,Saturday,Q1
2022-01-01,Sports,North,8,39.32,314.56,1,2022,Saturday,Q1
2022-01-01,Sports,South,11,29.44,323.83,1,2022,Saturday,Q1
2022-01-01,Sports,East,29,11.45,332.18,1,2022,Saturday,Q1
2022-01-01,Sports,West,6,50.14,300.85,1,2022,Saturday,Q1
2022-01-02,Electronics,North,27,22.59,609.89,1,2022,Sunday,Q1
2022-01-02,Electronics,South,17,32.27,548.59,1,2022,Sunday,Q1
2022-01-02,Electronics,East,11,49.58,545.37,1,2022,Sunday,Q1
2022-01-02,Electronics,West,14,42.22,591.12,1,2022,Sunday,Q1
2022-01-02,Clothing,North,30,13.58,407.37,1,2022,Sunday,Q1
